make room for sb. 	给某人让出空间
do sb. a favour / favor	帮某人一下
ask for a favour 	寻求帮助
favourable / favorable 	adj 讨人喜欢的，令人愉悦的
cellular phone 	= cell phone 移动电话
litter 	v.乱扔垃圾；n.垃圾杂物
spit 	v. 吐痰
spat	v. 吐痰。spit的过去式和过去分词
spitting	v. 吐痰。spit的现在分词
bounce a ball 	拍球
renew 	v.更新，重新开始
renewable 	adj.可更新的，可再生的
essay 	n. 随笔，散文，小论文
work out 	锻炼，解出（题目）
a couple of days	 =a few days 几天
be busy doing sth.	忙于做某事
be busy with sth.	忙于某事
load 		v.装载
unload 		v.卸除
need to be done 	需要被做
need doing	需要被做
mend 	v. mended 修理（过去式）
try one’s best to do sth/do one’s best to do sth.  	努力尝试做某事（2）
handcraft 	n. 手工艺品（美式英语）
handicraft 	n. 手工艺品（英式英语）
souvenir 	n. [C]纪念品
bring along 	带来
be supposed to do sth./be expected to do sth. 	应该做某事
manner 		n. 礼节，举止，方式
get on/along well with 	和谁相处的好
region 	n. 区域，地区
common 	普遍的，普通的adj.
uncommon	 不普通的，不普遍的adj.
generation 	一代人n. [C]
depend on 	依靠(RVN)
pick one’s nose 	挖鼻孔
nostril 	n.鼻孔
debug 	v.排除故障，错误等
backslap 	v. 拍谁的后背
hug	 v.拥抱
break/pass wind  	fart的文雅说法
accidentally 	adv. 意外
pardon 	v.原谅
consider doing sth 	仔细考虑做某事
consider that …	认为
consider A (to be)B	认为A是B
consider A (as)B	认为A是B
consideration 	n. 深思熟虑
be punctual/be bang on time 	准时
as much as/up to 	达到
get to know one another		互相认识
afterward(s) 	adv.之后
discuss sth with sb	和某人讨论某事
have a discussion about sth with sb	和某人讨论某事
be well fed/be fed well 	饱餐一顿
on one’s own 	靠自己
boiled water 	烧开过的水
boiling water 	沸水
insist that sb should do sth 	坚持要求某人应该做某事
insist on (doing )sth 	坚持（做）某事
insist that…	坚持声称
income 	n. 收入
admire 	v. 仰慕某人，
admirable 	adj. 令人敬仰的，令人钦佩的
admiring	 adj.令人羡慕的
show one’s admiration for sb/sth 	对谁表示赞赏，羡慕，钦佩

Yesterday, Peter insisted that he had given the money to me.     昨天Peter坚持说他把钱给我了。	
Yesterday, he insisted (that) he (should) give the money to me.     昨天他坚持要求把钱给我。	昨天他坚持要求把钱给我。	

They insisted that these were not people on high income.     他们坚持声称这些人不是高收入人群。	
They insisted that they should become the ones on high income.     他们坚持要求成为高收入人群。	
