a means of transportation	一种交通方式
transportation/transport	交通N（两种）
transport goods		(主义动词重音)	运输货物  
travel abroad	去国外旅游 
get/go aboard the plane	登机 
by ship/sea	坐船（2种）
by plane/air	坐飞机（2种）
by rail/train	坐火车（2种）
Piccadilly Circus 	皮卡迪里马戏团  
rough	颠簸的,粗糙的，艰难的  
Dover	多佛 
crossing	轮渡 
Calais	加来（法国北部一城市）
a couple of	一对，一双，几个 
buffet car	餐车 
take/took/taken off	起飞(过去式，过去分词) 
in spite of/ despite	即使，尽管，不管 （2种）
declare	申报V 
declaration	申报N 
delay	延误，延迟v/n  
rush hour	（交通）高峰时段 
rush-hour	高峰时段的  
keep + adj	保持某种状态 
argue with sb over/about sth; have an argument with sb over/about sth	和某人就某事争论 (2种) 
give sb a hand	帮某人一把 
make the right choice	做正确的选择 
I am afraid…	我担心… 
make a reservation to Beijing	预定一张去北京的票 
Make a reservation for the wedding anniversary	给结婚纪念日预定（一个座位或者别的）
I doubt if/whether he will come.	我怀疑他是否会来。
I don’t doubt that he will come.	我不怀疑他会来。
think of doing sth	考虑做某事 
for a second time	再一次 
intend to do sth	打算做某事 
intention	打算安排 n. 
What's more	更甚者，更进一步 
toilet	厕所 
speed	速度 
speed	快速移动 
speed up	加速 
high-speed rail	高铁 
pier	码头 
dock	停泊 
leisurely	休闲的、地 
restful	舒适的，悠闲的 
crash	撞击N/V 
the plane crash	坠机 
the car crash	撞车 
bring the plane down	把飞机开下来 
anyplace	任何地方 
go out for a ride	开车外出 
the tube	伦敦地铁 
Metropolitan line	大都市线 
get a clear view of the city	清楚地看到城市 
at the information center	在咨询中心 
find out	发现，找出 
swift	轻快的 
roar	咆哮，呼啸V 
much/lots of livestock	许多牲畜 
automobile	汽车 
rumble	轰鸣V 
highway	高速路 
pipelines	管线 
petroleum	石油 
make it possible to do sth	使…成为有可能的 
in comfort 	舒服地做某事 
jolt	颠簸前行V 
westwards	向西的  
springless	无弹簧的 
wagon	四轮马车 
air-filled tire/tyre	充气的轮胎 
obtain	得到 
wayside	路边的 
reclining seat	倾斜的座位 
air conditioning	空调系统 
air conditioner	空调 
air-conditioned	有空调的 
tasty	美味的 
automatically	自动地 
enable sb to do sth	使某人能够做某事 
operate	操作V 
operation	操作N 
lighthouse	灯塔 
lightship	灯船 
buoy	浮标 
compass	指南针
radar	雷达 
device	设备设施 
 
The car crashed into a wall.	这个车撞向了一面墙。
The pilot crashed the plane into the mountain	飞行员把飞机撞向了山上。
The plane is landing.	这个飞机正在降落 
It takes 10 minutes to get there by car.	坐车到这里要花十分钟的时间。 
He attended the meeting despite the rain.	尽管下雨，他还是来参加了会议。 
The plane will take off despite/in spite of the rain.	即使有雾，飞机还是会起飞。 
The boss delayed the meeting for half an hour.	老板把会议延迟了半个小时。
He decided to delay telling her the truth.	他决定推迟告诉她真相。
We argued with them over the match.	我们和他们就这场球赛起了争执。
Telephone makes it possible to chat with friends far away.	电话使得人们和远方的朋友聊天成为可能。
Internet makes it possible for people to shop at home.	网络使人们能够在家购物。
She choked to death on a fish bone.	她被鱼骨头噎死了 

