come along (with…)	（和谁）一起来/去
arrange to do sth.	安排去做某事
Aesop’s Fables	伊索寓言
the Fox That Could Not Reach the Grapes	够不着葡萄的狐狸
Sour Grapes	酸葡萄
Grimm’s Fairy Tales	格林童话
tale	n.故事
Snow White and the Seven Dwarfs/Dwarves	白雪公主和七个小矮人
Andersen’s Fairy Tales	安德生童话
Arabian Nights	天方夜谭、一千零一夜
Arabia	n. 阿拉伯半岛
Arab	n. & adj. 阿拉伯人、阿拉伯人的
Arabic	n. & adj. 阿拉伯语，阿拉伯语的
Arabian	adj. 阿拉伯国家的（地域上来说）
be/get/feel homesick for sth	感到思念什么地方
homesickness	思乡之情
carsick	adj. 晕车
seasick	adj. 晕船
over the break	在度假期间
dramatically	adv. 戏剧性地，剧烈地
dramatic	adj. 戏剧性的，剧烈的
drama	n. 戏剧，剧作
dramatist	n.剧作家
take the exam	参加考试
be supposed to do sth	应该做某事
I don’t suppose you are right.	我猜你不是对的
She supposes that they will come tomorrow.	她猜他们明天会来。
throw a party	开派对
fail the exam	考试失败
Empire State Building	帝国大厦
serious	adj. 严肃的，严重的
be serious about (doing…)	对什么态度认真严肃
bungee-jumper	n. 蹦极跳的人
act in a film	在电影里演出
object	n. 物体，物品
fault	n. 错误
moral	n. 道理
figure out	找出，查明，搞清楚
convince  sb of sth	使某人相信某事
convince that ….	使相信…
She cannot convince me of her honesty./She cannot convince that she is honest.	她不能让我相信她的忠诚。（2种）
of no/great value	没有价值，很有价值
of great importance/help	很重要，很有帮助
fairy story	童话故事
myth	神话
seem	v.看起来
She seemed angry yesterday./She seemed to be angry yesterday./It seemed that she was angry yesterday.	她昨天看起来很生气（3种）
search for	寻找某人某事
make up …	编造，弥补，化妆
weave … into …	把什么编织成什么
thumb	n. 大拇指
cottage	n. 村舍
magician	n. 魔法师，魔术师
named	叫做
They named the little baby Tom.	他们叫这个小男孩Tom。
The boy is named Tom.	这个男孩被叫做Tom。
raven	n.渡鸦
swallow	v. 吞
cut … open	把什么切开
attack  sb	攻击某人
launch an attack on sb/sth	对某人或某物发起攻击。
be under attack	被攻击
bite	v. 咬
bit	v. 咬。bite的过去式
bitten	v. 咬。bite的过去分词
have a bite of sth/sb	咬了某人某物一口
be based on	基于什么。。由什么而来
convey this idea to the students	向学生传递这个想法
crafty	adj. 狡猾的
crow	n. 乌鸦
beak	n. 鸟喙，鹰钩鼻
put on one’s smile	假装微笑
nod  at/to sb	对谁点头
a nod and a wink	一点就通
I bet …	我打赌，我肯定
sing sb. to sleep	唱歌哄谁入睡
praise un.	赞扬
Praise sb for doing sth	因某事而赞扬某人
flattered adj.	受到恭维的，感到高兴的
be flattered to do sth	受到恭维而高兴地去做某事
flatter sb	恭维某人
flattery un.	恭维之词
let go of …	让什么走
gobble	v.狼吞虎咽
annoyed (RVN)	感到厌烦生气的
annoying	令人感到厌烦生气的
be annoyed with sb for doing sth	因为某人做某事而生某人的气
be annoyed about/at sth	对某事生气
beware (RVN) beware of sth	当心某人或某物
It may not be meant.	这也许和听上去的意思并不一样。
once upon a time	很久很久以前
If only I had a brush, I could draw for the poor people.	如果我有一只毛笔，我就能够给穷人画画了。
If only I were an adult, I could not do homework.	如果我是大人，我就不用做作业了。
plough	v/n 犁地/ 犁，北斗七星
buffalo	n. 水牛
hang	v.挂，吊死
hanged	吊死，hang的过去式和过去分词
hung	悬挂，hang过去式过去分词
throw sb. into prison	把谁扔到监狱里
catch hold of …	抓住某人
discover	v. 发现
discovery	n 发现
chase	v. 追逐
gallop	v. 骑马疾驰 

