prefer	v. 偏爱
preferred	v. 偏爱。prefer的过去式和过去分词
prefer to do	偏向于做某事
preference	偏好，偏爱
prefer doing A to doing B/prefer to do A rather than do B	喜欢做A胜过做B
collect	v. 收集
collection	n. 收集
collector	n. 收集者
recreation	n. 休闲，场景再现
needlework	针线活儿UN
hate	v. 憎恨
recreate	v.再现
be fond of (doing) something	喜爱做某事
Do you find Simon difficult to talk to?	你发现Simon很难沟通吗？
photography	n.  摄影
creative	adj.有创造性的
creativity	n.创造力
in one’s spare time	在某人的空余时间
go on an excursion	去远足
go on an outing	去远足，游玩
go for a trip/go traveling	去旅游
Amsterdam	阿姆斯特丹
Barbados	巴巴多斯
be given the sack	被开除
promotion	n. 晋升，提升
fall in love with sb.	爱上某人
be sacked	= be fired 被开除
promote	v. 晋升，提升
be in love with. sb.	爱上某人
in one’s opinion	(RVN) 在某人看来
chef	n. 主厨
chefs	n. 主厨。chef的复数形式
chore	n. 日常琐事
mould	v. 铸造，形成
character	n. 性格
satisfied	(RVN)感到满意的
be satisfied with sb	对谁满意
delicious	(RVN) 美味的
mould a … character	塑造性格
movie/film camera	胶片相机
home movie	家庭电影
take up	开始做某件自己感兴趣的事
interest	n. (RVN) 兴趣爱好
postage	n. 邮资
related	adj. 相关的
casual	adj. 马虎的，休闲的
accumulate	v.  积累
sheer	adj. 纯粹的，陡峭的
relax	v. 放松
relaxation	n. 放松
neatly	adv.整洁地
postmark	n. 邮戳
cut … out	把什么剪下来
remove	v. 搬动，移动，挪动
a first day cover	首日封
tear … off	把什么从什么上撕下来
tear tore torn	撕（过去式过去分词）
float	v. 漂浮
run	v. 褪色
thus adv.	这样一来，因此
spoil	v. 破坏，宠溺
gently	adv. 温和，温柔
gentle	温和的
peel	v. 剥皮
come apart	分开
for a while longer	再一会儿
wash off	把什么洗掉
trace	n. 痕迹，污渍
gum	n. 浆糊，胶水
spread	v. 铺开，传开
paintbrush	n. 画笔
curl up	卷起来
obsession	n. 痴迷，沉迷，强迫症
obsessive	adj. 沉迷的
some kind of	某种
a certain kind of	特定的一种
be keen on	(RVN) 热衷于
support	(RVN) 支持V/N
supportive	adj.  给人支持的，乐于助人的
a total of …in total	总共（2种）
fill sth. with sth.	(RVN)用什么来填满什么
honeymoon	n.  蜜月
as far as	(表程度) 到什么的程度，据..
Barbie doll	芭比娃娃


