sth. be worth doing 	某事值得做 
a two yuan’s worth of book	一本价值两元的书
some 50 dollar’s worth of stamps	价值50美金的一些邮票
definitely	肯定，当然
Big Ben	大本钟
Westminster Abbey	威尔斯明斯特教堂
the Tower of London 	伦敦塔
the Tate Gallery	塔特艺术馆
the Forbidden City	紫禁城
the Palace Museum	故宫博物院 
think of sth./ think of doing sth./ consider doing sth	考虑做某事
Red Square	红场
the Summer Palace	颐和园 
historic	有历史意义的
historical	历史性的
Trafalgar Square	特拉法格广场
centre/center	中心
pay phone	付费电话
telephone booth	电话亭
in the centre of /in central…	在… 的中心（2种）
Beefeater	伦敦塔护卫兵
One Day Travel Card	一日旅游卡
attract	吸引
attractive	有吸引力的
attraction	吸引力，景点
The Crown Jewels	皇冠珠宝
speak up	大声说话
follow sb./catch sb.	理解明白某人
the London Eye	伦敦眼
No. 10 Downing Street	唐宁街十号
fantastic	极好的，了不起的
get about/around in Shanghai	在上海旅游
 efficient	有效率的
 inefficient 	没效率的
efficiency	效率 	
show sb. around 	带谁参观、逛逛某处
take sb. for a walk 	带谁去散步
continue	继续做某事
sight	景点，景观
St Paul’s Cathedral	圣保罗大教堂
A marry B. / A be married to B / A get married to B / A and B get married	A和B 结婚(3种)
Londoner	伦敦人
The Tower Bridge	塔桥
Piccadilly Circus	皮卡迪里杂技团（实际上现在是个购物中心）
The River Thames	泰晤士河
entertain sb	娱乐某人
entertainment	娱乐  
entertainment business	娱乐行业 
entertaining	娱乐性的，逗人开心的
Buckingham Palace	白金汉宫
royal	皇家的
royalty	皇权，皇室成员
crown	皇冠 /加冕 
the Houses of Parliament 	英国国会
set the clock by …	通过什么来设定钟
residence	居住地
resident	居民
residential	居住相关的
politician / statesman	政治家（2）
The British Prime Minister	英国首相
Madame Tussaud’s（Waxwork Museum）	杜莎夫人蜡像馆
waxwork	蜡像
wax	蜡
murderer	杀人犯
murder	谋杀
section	区域
chamber	房间，室
found / set up	建立
horror	n 恐怖.
horrible	adj. 恐怖的，糟糕的
horribly	adv 非常（通常用于否定意义的形容词前）
infamous	adj. 臭名昭著的
sculptor	n. 雕刻家
sculpture	v. / n. 雕塑，雕刻
amazing	adj. 令人惊讶的
amazingly	adv. 令人惊讶地
amazement	U. 惊奇，惊愕
amaze sb	使谁感到惊讶
lifelike 	adj. 生动的
one ... at a time 	一次一个
pop idols 	流行明星
Believe it or not 	信不信由你
head 	v. 前行
head off (to...) 	朝什么地方出发
display 	n/v. 展示
be on display 	在展览中
together with 	和什么一起
jewel 	n. 珠宝
jewelry 	[U] 珠宝首饰
raven 	n. 渡鸦，大乌鸦
armour/armor 	[U] 盔甲
armoury/armory 	C. 武器库  区分清楚哪个可数哪个不可数啊
medieval 	adj. 中世纪的
bodyguard 	n. 保镖
photograph 	v. 照片
make sure that… 	保证..
poison 	v. 下毒
poison 	u 毒药.
poisonous 	a. 有毒的
along with 	和什么一起
