cello	大提琴
saxophone	萨克斯风
dislike doing	不喜欢做某事
rap	说唱
rock	摇滚音乐
heavy metal 	重金属音乐
blues	蓝调布鲁斯
country and western	乡村音乐
folk	民谣
classical	经典的
opera	歌剧
pop	流行音乐
jazz	爵士音乐
would rather do A than (do) B/prefer doing A to doing B	宁愿做A而不是做B
(not) think much of	不认为什么东西好
think highly of	认为什么东西很好
I bet … / I am sure …	我肯定（2种）
be bored with  / be tired of / be fed up with	对什么没兴趣（3）
be bored of doing sth	对做某事没兴趣
a group of us + are	我们一组人是
talented	有天赋的，有才能的
the talent for sth.	做某事的天赋
get out of practice on sth.	疏于练习（瞬间动词短语）
be out of practice on sth. 	疏于练习（延续性动词短语）
relax oneself 	放松某人自己
do...for relaxation	为了放松做某事
most ... of all	最… 样的
embarrassed	感到尴尬的
embarrass	使尴尬
embarrassment	尴尬
cloakroom	更衣室
attendant	服务生
in charge of...	负责什么… 
in the charge of...	被什么所负责
record	n. 唱片; v. 录音
recording company	唱片公司
sign a contract (with sb.) 	和谁签合同
hit	热卖的专辑，电影等
become a hit	专辑大卖
describe	描述
description	描述
composer	作曲家
compose	作曲，写信
emotional	情感上的，激动人心的
emotion	情感，情绪
expression	n. 表达，表情
express	v. 表达
religion	宗教
religious	宗教的
 

