fire drill 	消防演习
burgle 	v. 入室盗窃
burglar 	n.入室盗窃的窃贼
burglary 	n.入室盗窃（行为）
knock ... off ... 	把什么撞开了
knock ... down	把什么撞倒了
enlarge 	v.使什么扩大
cancel 	v.取消
whisky 	n.[U] 威士忌
champagne 	n. [U] 香槟
tailor 	n. 裁缝
be surrounded by/with 	v.被什么所围绕
smash 	v.打碎
export	 v.出口
export 	n.出口物
import 	v.进口
import 	n 进口物品.
hardware	 [U] 五金
fire extinguisher 	灭火器
extinguish 	v. 扑灭
extinguish/put out a fire 	灭火（2种）
be used to do sth. 	被用来做某事（2种）
be used for doing sth. / be used to doing sth	习惯于做某事
hosepipe 	n.水管
rescue ... from ...	从什么中把什么救出来
to the rescue	（n）来救人/帮忙了
first-aid kit	急救箱
stretcher	担架
stretch 	伸展开
life buoy	救生圈
life boat	救生船
lifeguard  	救生员
life jacket	救生衣
fire hydrant	消防栓
emergency 	cn.紧急情况
hold on  	（打电话时）等一下
put sb. through (to...) 	把某人的电话接到某处去
fall off/fall down from 	从什么上面掉下来
lie 	v. 撒谎; 位于；躺下
lied	v. 撒谎。lie的过去式和过去分词
lay	v. 放平，放置；下蛋。也可以作为lie的过去式表示位于、躺下；
lain	v. 位于；躺下。lie的过去分词
laid	v. 放平，放置；下蛋。lay的过去式和过去分词
quite a(an) / the + n. 	真是很…的一个
It sure was./It surely was. 	的确是（2种）
drop 	v.扔下（过去式过去分词）
safari park  	野生动物园
press 	v. 按，压
button 	n. 按钮
trunk 	n. 象拔（就是大象的长鼻子）树枝枝干
panic 	v. / n.  惊恐
At that time, I panicked/I was in panic.    那时候，我感到很惊恐(2种)。	
monitor 	n. 监视器，班长（班长就是老师的监视器嘛嘿嘿）
shock 	v. / n. 震惊
shocking 	adj.使人震惊的
shocked 	adj.感到震惊的
brandy 	[U]白兰地
calm ... down 	使谁冷静下来
set off home	 出发回家
从A出发去B 	set off from A for B=leave from A for B
halfway back	 回程的中途
alcohol 	[U]酒精
come out positive 	呈阳性
fine	 n./v. 罚款
occur	v. 出现
occurred 	v. 出现。occur的过去式和过去分词
take place/happen	发生（2）
follow the rules 	遵守规矩
It occurs to sb. that… 	某人突然意识到..
