阅读课单词  
unit 3
a couple of minutes 	几分钟
a sheet of paper	 一张纸
lower 	放低
on a bit of string 	在一条线上,一条绳子上
backward 	怯生生的，落后的
creature 	生物
backwards 	倒过来地
bewildered 	困惑不解的
puff up 	肿胀起来
shoot up 	迅速成长
spring up 	迅速成长
swell up	 肿起来
gorge 	拼命吃
guzzle 	狂吃
stuff 	塞满肚子，吃胀
gulp	 狼吞虎咽
put on fat 	长胖
gobble 	狼吞虎咽
examine 	检查
magic words 	有魔力的话
more closely 	更加近地
I guess 	＝I think 我认为
an awful lot of 	很多
poo 	便便
something special 	一些特别的东西
three times a day 	一天三次
practice doing sth 	操练
stumble over sth 	结结巴巴说，蹒跚走路
message 	信息
language 	语言
expression 	表达，声调
properly 	正确地，适当地
believe 	相信
It will work 	它会有用
wait and see 	等着瞧
simply 	简单地
quiver with excitement 	因为激动而颤抖
repeat 	重复
What bliss! 	多么令人狂喜
furniture 	家具（不可数名词）
thick canvas 	厚帆布
protect 	保护
carpet	 地毯，毯子
telephone-book 	电话簿
address  	地址
pet-shop 	宠物店
altogether 	总共，全部
a great many 	很多
at least 	至少
perhaps 	也许
differ…in… 	在某一方面不同
darkish	 深色的
collection 	收集
size 	大小
all sorts of 	各种各样的
slightly 	一点点
a great deal 	很多的
weigh less 	轻一点的
choose 	选择
chose 	选择。choose的过去式
chosen 	选择。choose的过去分词


